model,batch_size,prompt_len,gen_len,total_len,first_time,inc_time,inc_time2,error,total time
model,batch_size,prompt_len,gen_len,total_len,first_time,inc_time,inc_time2,error,total time
model,batch_size,prompt_len,gen_len,total_len,first_time,inc_time,inc_time2,error,total time
hf_baseline,1,1,1,2,91.41065979003906,0,0,0,91.41065979003906
hf_baseline,8,1,1,2,93.0857925415039,0,0,0,93.0857925415039
hf_baseline,16,1,1,2,92.24336242675781,0,0,0,92.24336242675781
hf_baseline,32,1,1,2,79.62397003173828,0,0,0,79.62397003173828
hf_baseline,48,1,1,2,93.6559066772461,0,0,0,93.6559066772461
hf_baseline,64,1,1,2,92.0851821899414,0,0,0,92.0851821899414
model,batch_size,prompt_len,gen_len,total_len,first_time,inc_time,inc_time2,error,total time
model,batch_size,prompt_len,gen_len,total_len,first_time,inc_time,inc_time2,error,total time
model,batch_size,prompt_len,gen_len,total_len,first_time,inc_time,inc_time2,error,total time
model,batch_size,prompt_len,gen_len,total_len,first_time,inc_time,inc_time2,error,total time
model,batch_size,prompt_len,gen_len,total_len,first_time,inc_time,inc_time2,error,total time
model,batch_size,prompt_len,gen_len,total_len,first_time,inc_time,inc_time2,error,total time
deepspeed,1,1,2048,2049,12.836480140686035,10.969400473065951,0.0005099862099124451,0.1575421408790671,23535.15168094635
deepspeed,1,128,512,640,15.235936164855957,10.992247038690376,0.000668743977399721,0.07057792543206516,5719.414856910706
deepspeed,1,512,512,1024,36.1280632019043,11.229180373543052,0.0005685898702095558,0.13975169111685554,5848.329337120056
deepspeed,1,1024,1024,2048,74.65283203125,11.527914004300234,0.0004288373972806417,0.1570637115152938,12091.884894371033
deepspeed,8,1,2048,2049,11.073760032653809,11.393548631014655,0.0026613171917170978,0.43160219182498405,28906.681573867798
deepspeed,8,128,512,640,64.6099853515625,11.64372782461681,0.0030692790815576862,0.15596922634469076,6414.497314453125
deepspeed,8,512,512,1024,264.0257873535156,12.844142267717428,0.002527923127257861,0.27445649227835356,7156.783509254456
deepspeed,8,1024,1024,2048,830.0457763671875,14.19752132831977,0.002482381350689888,0.564185490635385,16651.782393455505
llama_baseline,1,1,2048,2049,27.256832122802734,26.22777827162137,-0.0001284143608270371,0.2716439642490317,53446.608880996704
llama_baseline,1,128,512,640,28.685312271118164,26.106761613120778,0.00012464416140967345,0.1516004715797293,13385.48225402832
llama_baseline,1,512,512,1024,49.14790344238281,26.0243750928287,0.0003913987479838858,0.6651927882161286,13398.604789733887
deepspeed,16,1,2048,2049,11.10905647277832,11.658635099488075,0.005344981733968715,1.0453369799257852,35069.159799575806
deepspeed,16,128,512,640,124.68364715576172,12.202058087152283,0.005941344412517344,0.26525269472989405,7134.1222133636475
deepspeed,16,512,512,1024,519.902587890625,14.554357706275713,0.005057841746596037,0.5839692486663526,8616.241444587708
llama_baseline,1,1024,1024,2048,103.00415802001953,26.04482995063605,9.109182206264502e-05,0.47469664061017064,26794.48372077942
llama_baseline,8,1,2048,2049,27.667455673217773,21.825552962744954,0.014379492966325902,2.4272780870029775,74816.39738082886
llama_baseline,8,128,512,640,83.22252655029297,27.626396924315614,0.00039045229679393975,0.6566855708429126,14251.189241409302
llama_baseline,8,512,512,1024,351.60064697265625,26.082148221797098,0.014871860253250994,0.6475297991661763,15617.45613861084
model,batch_size,prompt_len,gen_len,total_len,first_time,inc_time,inc_time2,error,total time
model,batch_size,prompt_len,gen_len,total_len,first_time,inc_time,inc_time2,error,total time
model,batch_size,prompt_len,gen_len,total_len,first_time,inc_time,inc_time2,error,total time
deepspeed,16,1,2048,2049,11.419232368469238,11.814877245953724,0.005836972501539187,0.7518172994544546,36419.56616783142
deepspeed,16,128,512,640,125.1998062133789,12.244205277077787,0.006022344455611816,0.28169756435799354,7166.730297088623
deepspeed,16,512,512,1024,518.539306640625,14.591064313714583,0.005974413780018441,0.4766939129891931,8753.069158554077
deepspeed,16,1024,1024,2048,1122.793212890625,17.692834097516965,0.006054039894017472,0.946747905048118,22387.330011367798
llama_baseline,16,1,2048,2049,28.36684799194336,19.020319337653127,0.035903252755832483,2.4335746382561014,114147.27996635437
llama_baseline,16,128,512,640,161.12229919433594,25.201088275913513,0.02443767708955761,1.639959109902196,16223.229921340942
llama_baseline,16,512,512,1024,720.7034912109375,34.87681663934501,0.03869355037350419,0.2754047202320959,23584.719875335693
model,batch_size,prompt_len,gen_len,total_len,first_time,inc_time,inc_time2,error,total time
llama_baseline,16,1024,1024,2048,1651.3607177734375,54.65231882514231,0.03878343722186485,0.5502997998290258,77834.84103393555
deepspeed,32,1,2048,2049,11.55247974395752,11.917751840935429,0.011420933692548322,1.460465050508706,48323.55074596405
deepspeed,32,128,512,640,249.86521911621094,13.168579871706129,0.011962343365317644,0.5219856454731696,8537.762685775757
deepspeed,32,512,512,1024,1293.1468505859375,17.874331203327607,0.011615212902527943,0.8397923126765278,11940.450412750244
model,batch_size,prompt_len,gen_len,total_len,first_time,inc_time,inc_time2,error,total time
model,batch_size,prompt_len,gen_len,total_len,first_time,inc_time,inc_time2,error,total time
deepspeed,32,1024,1024,2048,2257.457275390625,23.954409702093802,0.010755218782694762,1.9268435057857434,32385.141284942627
model,batch_size,prompt_len,gen_len,total_len,first_time,inc_time,inc_time2,error,total time
model,batch_size,prompt_len,gen_len,total_len,first_time,inc_time,inc_time2,error,total time
model,batch_size,prompt_len,gen_len,total_len,first_time,inc_time,inc_time2,error,total time
deepspeed,48,1,2048,2049,12.395808219909668,12.546985050739334,0.0168146147079966,2.551438192241735,60907.239389419556
deepspeed,48,128,512,640,371.8663024902344,14.468529367247157,0.017662200094542124,0.7227955956965288,10066.75779247284
deepspeed,48,512,512,1024,1755.6051025390625,21.555761882966053,0.016000916244067825,1.348417867393869,14855.598815917969
deepspeed,48,1024,1024,2048,3385.28369140625,29.870153769359128,0.01657406513570941,3.433093077596029,42606.593269348145
model,batch_size,prompt_len,gen_len,total_len,first_time,inc_time,inc_time2,error,total time
hf_baseline,1,1,2048,2049,29.546464920043945,29.636048101461988,0.0004998320533436614,0.7909365601155051,61741.22573471069
hf_baseline,1,128,512,640,32.80854415893555,29.68239455254579,-0.0005623733330420584,0.1745816809436506,15127.232103347778
hf_baseline,1,512,512,1024,52.29875183105469,29.50603465046261,6.512310396640052e-05,0.1637634409528676,15138.368324279785
hf_baseline,1,1024,1024,2048,106.10185241699219,29.203584475732256,0.0018184582234741082,0.25079818476478566,30931.973262786865
deepspeed,64,1,2048,2049,11.834688186645508,13.068414160752024,0.021431697562217016,4.449385702789382,71642.589138031
